WORD,fdistAll,fdistMath,fdistPhys,fdistStat,fdistComp
mckay,0.0002110659878539783,0.0008802565067460658,0.0,0.0,7.579208412315001e-05
oversimplifi,0.00010094460288668528,0.0,0.0002172628358883443,0.00012682624508495455,7.579208412315001e-05
collar,0.00014682851328972404,0.0004401282533730329,0.0002172628358883443,0.0,2.5264028041050006e-05
shipwreck,3.670712832243101e-05,0.0,0.00017381026871067545,0.0,0.0
brewster,7.341425664486202e-05,0.0,0.000304167970243682,0.0,2.5264028041050006e-05
pcamix,6.423747456425427e-05,0.0,0.0,0.0002959279051982273,0.0
matrust,2.7530346241823257e-05,0.0,0.0,0.0,7.579208412315001e-05
albo,2.7530346241823257e-05,0.0,8.690513435533772e-05,4.227541502831819e-05,0.0
extragalact,9.176782080607753e-05,0.0,0.0002172628358883443,0.00021137707514159093,0.0
fwe,2.7530346241823257e-05,0.0,0.0,0.00012682624508495455,0.0
iris,3.670712832243101e-05,0.0,0.00013035770153300657,0.0,2.5264028041050006e-05
scbcla,9.176782080607753e-05,0.0,0.0,0.0,0.00025264028041050004
ssn,5.5060692483646513e-05,0.0,8.690513435533772e-05,8.455083005663638e-05,5.052805608210001e-05
sexagesim,6.423747456425427e-05,0.000308089777361123,0.0,0.0,0.0
qsdas,2.7530346241823257e-05,0.0,0.0,0.0,7.579208412315001e-05
digit,0.019528192267533297,0.0067779751019447065,0.01181909827232593,0.0058762826889362275,0.03948767582816116
cerf,3.670712832243101e-05,0.00013203847601190986,4.345256717766886e-05,0.0,0.0
tantrum,2.7530346241823257e-05,0.0,4.345256717766886e-05,8.455083005663638e-05,0.0
reactiv,0.0032118737282127133,4.4012825337303293e-05,0.005909549136162965,0.0002536524901699091,0.005229653804497351
sera,2.7530346241823257e-05,4.4012825337303293e-05,4.345256717766886e-05,4.227541502831819e-05,0.0
reid,8.259103872546977e-05,0.00035210260269842635,0.0,4.227541502831819e-05,0.0
superb,0.0001927124236927628,4.4012825337303293e-05,0.000608335940487364,0.00012682624508495455,7.579208412315001e-05
iota,7.341425664486202e-05,4.4012825337303293e-05,0.000304167970243682,0.0,0.0
elekta,2.7530346241823257e-05,0.0,0.00013035770153300657,0.0,0.0
eppstein,5.5060692483646513e-05,0.0,0.0,0.0,0.00015158416824630002
valor,6.423747456425427e-05,0.0,0.0,8.455083005663638e-05,0.00012632014020525002
overset,6.423747456425427e-05,4.4012825337303293e-05,0.00026071540306601314,0.0,0.0
produir,2.7530346241823257e-05,0.0,4.345256717766886e-05,0.0,5.052805608210001e-05
tmc,6.423747456425427e-05,0.0,0.00017381026871067545,0.0,7.579208412315001e-05
fuchsian,0.0005138997965140342,0.002464718218888984,0.0,0.0,0.0
precomplet,3.670712832243101e-05,0.00017605130134921317,0.0,0.0,0.0
essay,0.0011838048883984,0.0012763719347817955,0.0026506065978378003,0.0002959279051982273,0.0008084488973136002
